#This file contains index list and other info


#********************************
# Species list with their indexes
1	E	krome_idx_E
2	GRAIN-	krome_idx_GRAINk
3	H-	krome_idx_Hk
4	C-	krome_idx_Ck
5	CN-	krome_idx_CNk
6	O-	krome_idx_Ok
7	OH-	krome_idx_OHk
8	S-	krome_idx_Sk
9	GRAIN0	krome_idx_GRAIN0
10	C	krome_idx_C
11	FE	krome_idx_FE
12	H	krome_idx_H
13	HE	krome_idx_HE
14	MG	krome_idx_MG
15	N	krome_idx_N
16	NA	krome_idx_NA
17	O	krome_idx_O
18	S	krome_idx_S
19	SI	krome_idx_SI
20	H2	krome_idx_H2
21	CO	krome_idx_CO
22	CL	krome_idx_CL
23	P	krome_idx_P
24	C2	krome_idx_C2
25	CCL	krome_idx_CCL
26	CH	krome_idx_CH
27	CLO	krome_idx_CLO
28	CN	krome_idx_CN
29	CP	krome_idx_CP
30	CS	krome_idx_CS
31	HCL	krome_idx_HCL
32	HF	krome_idx_HF
33	F	krome_idx_F
34	HS	krome_idx_HS
35	MGH	krome_idx_MGH
36	N2	krome_idx_N2
37	NAH	krome_idx_NAH
38	NH	krome_idx_NH
39	NO	krome_idx_NO
40	NS	krome_idx_NS
41	O2	krome_idx_O2
42	OH	krome_idx_OH
43	PH	krome_idx_PH
44	PN	krome_idx_PN
45	PO	krome_idx_PO
46	S2	krome_idx_S2
47	SIC	krome_idx_SIC
48	SIH	krome_idx_SIH
49	SIN	krome_idx_SIN
50	SIO	krome_idx_SIO
51	SIS	krome_idx_SIS
52	SO	krome_idx_SO
53	C2H	krome_idx_C2H
54	C2N	krome_idx_C2N
55	C2S	krome_idx_C2S
56	C3	krome_idx_C3
57	CCO	krome_idx_CCO
58	CCP	krome_idx_CCP
59	CH2	krome_idx_CH2
60	CO2	krome_idx_CO2
61	H2O	krome_idx_H2O
62	H2S	krome_idx_H2S
63	HCN	krome_idx_HCN
64	HCO	krome_idx_HCO
65	HCP	krome_idx_HCP
66	HCS	krome_idx_HCS
67	HCSI	krome_idx_HCSI
68	HNC	krome_idx_HNC
69	HNO	krome_idx_HNO
70	HNSI	krome_idx_HNSI
71	HPO	krome_idx_HPO
72	HS2	krome_idx_HS2
73	N2O	krome_idx_N2O
74	NAOH	krome_idx_NAOH
75	NH2	krome_idx_NH2
76	NO2	krome_idx_NO2
77	O2H	krome_idx_O2H
78	OCN	krome_idx_OCN
79	OCS	krome_idx_OCS
80	PH2	krome_idx_PH2
81	SIC2	krome_idx_SIC2
82	SIH2	krome_idx_SIH2
83	SINC	krome_idx_SINC
84	SIO2	krome_idx_SIO2
85	SO2	krome_idx_SO2
86	C2H2	krome_idx_C2H2
87	C3H	krome_idx_C3H
88	HC3	krome_idx_HC3
89	C3N	krome_idx_C3N
90	C3O	krome_idx_C3O
91	C3P	krome_idx_C3P
92	C3S	krome_idx_C3S
93	C4	krome_idx_C4
94	CH3	krome_idx_CH3
95	H2CO	krome_idx_H2CO
96	H2CS	krome_idx_H2CS
97	H2O2	krome_idx_H2O2
98	H2S2	krome_idx_H2S2
99	H2SIO	krome_idx_H2SIO
100	HCCP	krome_idx_HCCP
101	NH3	krome_idx_NH3
102	SIC2H	krome_idx_SIC2H
103	SIC3	krome_idx_SIC3
104	SICH2	krome_idx_SICH2
105	SIH3	krome_idx_SIH3
106	C2H2N	krome_idx_C2H2N
107	C2H2O	krome_idx_C2H2O
108	C2H3	krome_idx_C2H3
109	C3H2	krome_idx_C3H2
110	H2C3	krome_idx_H2C3
111	C4H	krome_idx_C4H
112	C4N	krome_idx_C4N
113	C4P	krome_idx_C4P
114	C4S	krome_idx_C4S
115	C5	krome_idx_C5
116	CH2O2	krome_idx_CH2O2
117	CH2PH	krome_idx_CH2PH
118	CH3N	krome_idx_CH3N
119	CH4	krome_idx_CH4
120	HC3N	krome_idx_HC3N
121	SIC2H2	krome_idx_SIC2H2
122	SIC3H	krome_idx_SIC3H
123	SIC4	krome_idx_SIC4
124	SICH3	krome_idx_SICH3
125	SIH4	krome_idx_SIH4
126	C2H3N	krome_idx_C2H3N
127	C2H4	krome_idx_C2H4
128	C3H3	krome_idx_C3H3
129	C4H2	krome_idx_C4H2
130	C5H	krome_idx_C5H
131	C5N	krome_idx_C5N
132	C6	krome_idx_C6
133	CH4O	krome_idx_CH4O
134	C2H4O	krome_idx_C2H4O
135	C2H5	krome_idx_C2H5
136	C3H3N	krome_idx_C3H3N
137	C3H4	krome_idx_C3H4
138	C5H2	krome_idx_C5H2
139	C6H	krome_idx_C6H
140	C7	krome_idx_C7
141	CH5N	krome_idx_CH5N
142	HC5N	krome_idx_HC5N
143	C6H2	krome_idx_C6H2
144	C7H	krome_idx_C7H
145	C7N	krome_idx_C7N
146	C8	krome_idx_C8
147	CH3C3N	krome_idx_CH3C3N
148	HCOOCH3	krome_idx_HCOOCH3
149	C2H5OH	krome_idx_C2H5OH
150	C7H2	krome_idx_C7H2
151	C8H	krome_idx_C8H
152	C9	krome_idx_C9
153	CH3C4H	krome_idx_CH3C4H
154	CH3OCH3	krome_idx_CH3OCH3
155	HC7N	krome_idx_HC7N
156	C2H6CO	krome_idx_C2H6CO
157	C8H2	krome_idx_C8H2
158	C9H	krome_idx_C9H
159	C9N	krome_idx_C9N
160	CH3C5N	krome_idx_CH3C5N
161	C9H2	krome_idx_C9H2
162	CH3C6H	krome_idx_CH3C6H
163	CH3C7N	krome_idx_CH3C7N
164	HC9N	krome_idx_HC9N
165	HCNC2	krome_idx_HCNC2
166	HC2NC	krome_idx_HC2NC
167	HNC3	krome_idx_HNC3
168	NH2CHO	krome_idx_NH2CHO
169	C4H3	krome_idx_C4H3
170	NH2CN	krome_idx_NH2CN
171	C6H6	krome_idx_C6H6
172	H2CN	krome_idx_H2CN
173	C10	krome_idx_C10
174	C11	krome_idx_C11
175	SIC3H3	krome_idx_SIC3H3
176	SIC4H	krome_idx_SIC4H
177	SIC6H	krome_idx_SIC6H
178	SIC8H	krome_idx_SIC8H
179	SIC2H3	krome_idx_SIC2H3
180	C3H6	krome_idx_C3H6
181	SIC3H5	krome_idx_SIC3H5
182	C4H4	krome_idx_C4H4
183	C4H6	krome_idx_C4H6
184	HC4N	krome_idx_HC4N
185	HC6N	krome_idx_HC6N
186	HC8N	krome_idx_HC8N
187	HC10N	krome_idx_HC10N
188	HC11N	krome_idx_HC11N
189	HC12N	krome_idx_HC12N
190	NC4N	krome_idx_NC4N
191	NC6N	krome_idx_NC6N
192	NC8N	krome_idx_NC8N
193	NC10N	krome_idx_NC10N
194	NC12N	krome_idx_NC12N
195	HC13N	krome_idx_HC13N
196	H_DUST	krome_idx_H_DUST
197	H_DUSTH_DUST	krome_idx_H_DUSTH_DUST
198	O_DUST	krome_idx_O_DUST
199	O_DUSTH_DUST	krome_idx_O_DUSTH_DUST
200	H_DUSTH_DUSTO_DUST	krome_idx_H_DUSTH_DUSTO_DUST
201	O_DUSTO_DUST	krome_idx_O_DUSTO_DUST
202	C+	krome_idx_Cj
203	FE+	krome_idx_FEj
204	H+	krome_idx_Hj
205	HE+	krome_idx_HEj
206	MG+	krome_idx_MGj
207	N+	krome_idx_Nj
208	NA+	krome_idx_NAj
209	O+	krome_idx_Oj
210	S+	krome_idx_Sj
211	SI+	krome_idx_SIj
212	H3+	krome_idx_H3j
213	HCO+	krome_idx_HCOj
214	CL+	krome_idx_CLj
215	P+	krome_idx_Pj
216	CO+	krome_idx_COj
217	H2+	krome_idx_H2j
218	NO+	krome_idx_NOj
219	O2+	krome_idx_O2j
220	CH2+	krome_idx_CH2j
221	H2S+	krome_idx_H2Sj
222	HCS+	krome_idx_HCSj
223	HNO+	krome_idx_HNOj
224	NH2+	krome_idx_NH2j
225	OCS+	krome_idx_OCSj
226	C2H2+	krome_idx_C2H2j
227	CH3+	krome_idx_CH3j
228	NH3+	krome_idx_NH3j
229	C2H2O+	krome_idx_C2H2Oj
230	CH2O2+	krome_idx_CH2O2j
231	C2H3N+	krome_idx_C2H3Nj
232	C2H4+	krome_idx_C2H4j
233	C4H2+	krome_idx_C4H2j
234	H3CO+	krome_idx_H3COj
235	CH4O+	krome_idx_CH4Oj
236	C2H4O+	krome_idx_C2H4Oj
237	C3H4+	krome_idx_C3H4j
238	CH5N+	krome_idx_CH5Nj
239	C2H5OH+	krome_idx_C2H5OHj
240	CH3OCH3+	krome_idx_CH3OCH3j
241	CH+	krome_idx_CHj
242	CCL+	krome_idx_CCLj
243	C2+	krome_idx_C2j
244	CLO+	krome_idx_CLOj
245	CP+	krome_idx_CPj
246	CF+	krome_idx_CFj
247	CS+	krome_idx_CSj
248	CN+	krome_idx_CNj
249	NS+	krome_idx_NSj
250	PH+	krome_idx_PHj
251	PO+	krome_idx_POj
252	SIC+	krome_idx_SICj
253	SIN+	krome_idx_SINj
254	SIS+	krome_idx_SISj
255	SO+	krome_idx_SOj
256	C3+	krome_idx_C3j
257	C2S+	krome_idx_C2Sj
258	C2O+	krome_idx_C2Oj
259	CCP+	krome_idx_CCPj
260	C2H+	krome_idx_C2Hj
261	HOC+	krome_idx_HOCj
262	C2N+	krome_idx_C2Nj
263	CNC+	krome_idx_CNCj
264	HCP+	krome_idx_HCPj
265	SIC2+	krome_idx_SIC2j
266	SINC+	krome_idx_SINCj
267	HPO+	krome_idx_HPOj
268	HCN+	krome_idx_HCNj
269	CHSI+	krome_idx_CHSIj
270	SIH2+	krome_idx_SIH2j
271	C3H+	krome_idx_C3Hj
272	C4+	krome_idx_C4j
273	C3O+	krome_idx_C3Oj
274	C3S+	krome_idx_C3Sj
275	H2CO+	krome_idx_H2COj
276	H2SIO+	krome_idx_H2SIOj
277	HCNH+	krome_idx_HCNHj
278	SIC2H+	krome_idx_SIC2Hj
279	SIC3+	krome_idx_SIC3j
280	CH2SI+	krome_idx_CH2SIj
281	SIH3+	krome_idx_SIH3j
282	C2H2N+	krome_idx_C2H2Nj
283	C2H3+	krome_idx_C2H3j
284	C3H2+	krome_idx_C3H2j
285	H2C3+	krome_idx_H2C3j
286	C4H+	krome_idx_C4Hj
287	C5+	krome_idx_C5j
288	C4S+	krome_idx_C4Sj
289	PC2H+	krome_idx_PC2Hj
290	C3N+	krome_idx_C3Nj
291	C4N+	krome_idx_C4Nj
292	C3HN+	krome_idx_C3HNj
293	HNC+	krome_idx_HNCj
294	SIC3H+	krome_idx_SIC3Hj
295	SIC4+	krome_idx_SIC4j
296	SIC2H2+	krome_idx_SIC2H2j
297	SICH3+	krome_idx_SICH3j
298	HC2NCH+	krome_idx_HC2NCHj
299	C3H3+	krome_idx_C3H3j
300	H3C3+	krome_idx_H3C3j
301	C5H+	krome_idx_C5Hj
302	C6+	krome_idx_C6j
303	C2H3O+	krome_idx_C2H3Oj
304	C2H5+	krome_idx_C2H5j
305	C3H3N+	krome_idx_C3H3Nj
306	C5H2+	krome_idx_C5H2j
307	C4H3+	krome_idx_C4H3j
308	C6H+	krome_idx_C6Hj
309	C7+	krome_idx_C7j
310	CH4N+	krome_idx_CH4Nj
311	C5HN+	krome_idx_C5HNj
312	C7H+	krome_idx_C7Hj
313	C8+	krome_idx_C8j
314	COOCH4+	krome_idx_COOCH4j
315	C2H5O+	krome_idx_C2H5Oj
316	C8H+	krome_idx_C8Hj
317	C9+	krome_idx_C9j
318	C5H3+	krome_idx_C5H3j
319	C6H2+	krome_idx_C6H2j
320	C6H3+	krome_idx_C6H3j
